corpus_id	text	dbpedia_uri	note
10	eastern mediterranean eastern mediterranean is a loose definition of the eastern approximate half or third of the mediterranean sea often defined as the countries around the levantine sea it typically embraces all of that sea s coastal zones referring to communities connected with the sea and land greatly climatically influenced it includes the southern half of turkey s main region anatolia its smaller hatay province the island of cyprus the greek dodecanese islands and the countries of egypt israel jordan palestine syria and lebanon	http://dbpedia.org/resource/Eastern_Mediterranean	Eastern Mediterranean is a loose definition of the eastern approximate half, or third, of the Mediterranean Sea, often defined as the countries around the Levantine Sea. It typically embraces all of that sea's coastal zones, referring to communities connected with the sea and land greatly climatically influenced. It includes the southern half of Turkey's main region Anatolia, its smaller Hatay Province, the island of Cyprus, the Greek Dodecanese islands, and the countries of Egypt, Israel, Jordan, Palestine, Syria and Lebanon.
11	battle of tippecanoe		
12	war in afghanistan		
13	steve burton steve burton born june 28 1970 is an american actor best known for his portrayal of jason morgan on general hospital from 1991 to 2012 and 2017 to 2021 and dylan mcavoy on the young and the restless from 2013 to 2017 he also voiced the character cloud strife in a wide range of square enix products including final fantasy vii advent children and the kingdom hearts series in 2017 burton returned to general hospital in the role of jason morgan using the alias of patient 6 in 2019 he also briefly stepped into the role of jason s twin brother drew cain billy miller in various flashbacks with shiloh archer coby ryan mclaughlin	http://dbpedia.org/resource/Steve_Burton_(actor)	Steve Burton (born June 28, 1970) is an American actor, best known for his portrayal of Jason Morgan on General Hospital from 1991 to 2012 and 2017 to 2021, and Dylan McAvoy on The Young and the Restless from 2013 to 2017. He also voiced the character Cloud Strife in a wide range of Square Enix products, including Final Fantasy VII: Advent Children and the Kingdom Hearts series. In 2017, Burton returned to General Hospital in the role of Jason Morgan using the alias of \"Patient 6.\" In 2019, he also briefly stepped into the role of Jason's twin brother, Drew Cain (Billy Miller) in various flashbacks with Shiloh Archer (Coby Ryan McLaughlin).
14	jamie macdonald jamie macdonald born 17 april 1986 in broxburn is a professional footballer who plays as a goalkeeper who plays for scottish championship side raith rovers macdonald has previously played for heart of midlothian queen of the south falkirk and alloa athletic and kilmarnock and has played in three scottish cup finals with different clubs winning the competition in 2012 he also represented scotland at under 21 level	http://dbpedia.org/resource/Jamie_MacDonald_(footballer)	Jamie MacDonald (born 17 April 1986, in Broxburn) is a professional footballer who plays as a goalkeeper who plays for Scottish Championship side Raith Rovers. MacDonald has previously played for Heart of Midlothian, Queen of the South, Falkirk and Alloa Athletic and Kilmarnock, and has played in three Scottish Cup finals with different clubs, winning the competition in 2012. He also represented Scotland at under-21 level.
15	malcolm tucker malcolm tucker is the fictional antihero of the bbc political satire the thick of it portrayed by peter capaldi he is the director of communications for his party in both government and opposition acting as the prime minister s chief enforcer overseeing cabinet ministers tucker was originally a secondary character with chris langham s hugh abbot as the protagonist being watched over by tucker however after langham left the series the show directed more attention towards tucker and his dealings with the fictional department of social affairs and citizenship dosac originally the department of social affairs dsa in series 1 and 2 which is portrayed as inept and incompetent he is one of several characters from the series to appear in the film in the loop such as malcolm s depu	http://dbpedia.org/resource/Malcolm_Tucker	Malcolm Tucker is the fictional antihero of the BBC political satire The Thick of It, portrayed by Peter Capaldi. He is the Director of Communications for his party in both Government and Opposition, acting as the Prime Minister's chief enforcer overseeing cabinet ministers. Tucker was originally a secondary character, with Chris Langham's Hugh Abbot as the protagonist being watched over by Tucker. However, after Langham left the series the show directed more attention towards Tucker and his dealings with the fictional Department of Social Affairs and Citizenship (DoSaC) – originally the Department of Social Affairs (DSA) in series 1 and 2 – which is portrayed as inept and incompetent. He is one of several characters from the series to appear in the film In the Loop, such as Malcolm's depu
16	robert the bruce		
17	william wallace sir william wallace scottish gaelic uilleam uallas pronounced am uls norman french william le waleys c 1270 23 august 1305 was a scottish knight who became one of the main leaders during the first war of scottish independence since his death wallace has obtained an iconic status far beyond his homeland he is the protagonist of blind harry s 15th century epic poem the wallace and the subject of literary works by jane porter and sir walter scott and of the academy award winning film braveheart	http://dbpedia.org/resource/William_Wallace	Sir William Wallace (Scottish Gaelic: Uilleam Uallas, pronounced [ˈɯʎam ˈuəl̪ˠəs̪]; Norman French: William le Waleys; c. 1270 – 23 August 1305) was a Scottish knight who became one of the main leaders during the First War of Scottish Independence. Since his death, Wallace has obtained an iconic status far beyond his homeland. He is the protagonist of Blind Harry's 15th-century epic poem The Wallace and the subject of literary works by Jane Porter and Sir Walter Scott, and of the Academy Award-winning film Braveheart.
18	haggis mchaggis		
19	punahou school punahou school known as oahu college until 1934 is a private co educational college preparatory school in honolulu hawaii more than 3 700 students attend the school from kindergarten through 12th grade protestant missionaries established punahou in 1841 in 2006 it was ranked the greenest school in america in 2017 punahou s sports program was ranked second nationally in the maxpreps cup standings punahou s student body is diverse with student selection based on both academic and non academic considerations	http://dbpedia.org/resource/Punahou_School	Punahou School (known as Oahu College until 1934) is a private, co-educational, college preparatory school in Honolulu, Hawaii. More than 3,700 students attend the school from kindergarten through 12th grade. Protestant missionaries established Punahou in 1841. In 2006, it was ranked the greenest school in America. In 2017, Punahou's sports program was ranked second nationally in the MaxPreps Cup standings. Punahou's student body is diverse, with student selection based on both academic and non-academic considerations.
20	front range airport colorado air and space port icao kcfo faa lid cfo formerly known as front range airport is a public airport located in unincorporated adams county colorado in the united states adjacent to aurora and six miles 9 7 km southeast of denver international airport icao kden faa lid den colorado air and space port serves the denver aurora lakewood co metropolitan statistical area the postal designation of watkins a nearby unincorporated community is used in the airport s mailing address	http://dbpedia.org/resource/Colorado_Air_and_Space_Port	Colorado Air and Space Port (ICAO: KCFO, FAA LID: CFO), formerly known as Front Range Airport, is a public airport located in unincorporated Adams County, Colorado, in the United States, adjacent to Aurora and six miles (9.7 km) southeast of Denver International Airport(ICAO: KDEN, FAA LID: DEN). Colorado Air and Space Port serves the Denver-Aurora-Lakewood, CO Metropolitan Statistical Area. The postal designation of Watkins, a nearby unincorporated community, is used in the airport's mailing address.
21	centennial airport centennial airport iata apa icao kapa faa lid apa is a public use airport owned by the arapahoe county public airport authority in the denver aurora metropolitan area 15 nautical miles 17 mi 28 km southeast of downtown denver colorado united states located in dove valley a census designated place in arapahoe county the airport s runways extend into douglas county	http://dbpedia.org/resource/Centennial_Airport	Centennial Airport (IATA: APA, ICAO: KAPA, FAA LID: APA) is a public use airport owned by the Arapahoe County Public Airport Authority in the Denver-Aurora metropolitan area, 15 nautical miles (17 mi, 28 km) southeast of downtown Denver, Colorado, United States. Located in Dove Valley, a census designated place in Arapahoe County, the airport's runways extend into Douglas County.
22	denver international airport denver international airport iata den icao kden faa lid den locally known as dia is an international airport in the western united states primarily serving metropolitan denver colorado as well as the greater front range urban corridor at 33 531 acres 52 4 sq mi 135 7 km2 it is the largest airport in north america by land area and the second largest in the world behind king fahd international airport runway 16r 34l with a length of 16 000 feet 3 03 mi 4 88 km is the longest public use runway in north america and the seventh longest in the world the airport is 25 miles 40 km driving distance from downtown denver 19 miles 31 km further than the former stapleton international airport the facility den replaced the airport is actually closer to the city of aurora	http://dbpedia.org/resource/Denver_International_Airport	Denver International Airport (IATA: DEN, ICAO: KDEN, FAA LID: DEN), locally known as DIA, is an international airport in the Western United States, primarily serving metropolitan Denver, Colorado, as well as the greater Front Range Urban Corridor. At 33,531 acres (52.4 sq mi; 135.7 km2), it is the largest airport in North America by land area and the second largest in the world, behind King Fahd International Airport. Runway 16R/34L, with a length of 16,000 feet (3.03 mi; 4.88 km), is the longest public use runway in North America and the seventh longest in the world. The airport is 25 miles (40 km) driving distance from Downtown Denver, 19 miles (31 km) further than the former Stapleton International Airport, the facility DEN replaced: the airport is actually closer to the City of Aurora
23	rocky mountain metropolitan airport rocky mountain metropolitan airport iata bjc icao kbjc faa lid bjc is a public use airport located in broomfield colorado united states the airport is owned and operated by jefferson county and is situated midway between denver and boulder on u s highway 36 it is located 16 miles 26 km northwest of the central business district of denver and is the closest airport to downtown denver the airport covers 1 700 acres 688 ha and has three runways formerly known as jefferson county airport or jeffco airport the airport was renamed rocky mountain metropolitan airport on october 10 2006 although it is sometimes referred to as rocky mountain regional airport e g on 20072012 county planning documents	http://dbpedia.org/resource/Rocky_Mountain_Metropolitan_Airport	Rocky Mountain Metropolitan Airport (IATA: BJC, ICAO: KBJC, FAA LID: BJC) is a public-use airport located in Broomfield, Colorado, United States. The airport is owned and operated by Jefferson County and is situated midway between Denver and Boulder on U.S. Highway 36. It is located 16 miles (26 km) northwest of the central business district of Denver, and is the closest airport to downtown Denver. The airport covers 1,700 acres (688 ha) and has three runways. Formerly known as Jefferson County Airport or Jeffco Airport, the airport was renamed Rocky Mountain Metropolitan Airport on October 10, 2006, although it is sometimes referred to as Rocky Mountain Regional Airport, e.g. on 2007–2012 county planning documents.
24	claudius tiberius claudius caesar augustus germanicus kldis 1 august 10 bc 13 october ad 54 was the fourth roman emperor ruling from ad 41 to 54 a member of the julio claudian dynasty claudius was born to drusus and antonia minor at lugdunum in roman gaul where his father was stationed as a military legate he was the first roman emperor to be born outside italy nonetheless claudius was an italian of sabine origins	http://dbpedia.org/resource/Claudius	Tiberius Claudius Caesar Augustus Germanicus (/ˈklɔːdiəs/; 1 August 10 BC – 13 October AD 54) was the fourth Roman emperor, ruling from AD 41 to 54. A member of the Julio-Claudian dynasty, Claudius was born to Drusus and Antonia Minor at Lugdunum in Roman Gaul, where his father was stationed as a military legate. He was the first Roman emperor to be born outside Italy. Nonetheless, Claudius was an Italian of Sabine origins.
25	physician a physician american english medical practitioner commonwealth english medical doctor or simply doctor is a health professional who practices medicine which is concerned with promoting maintaining or restoring health through the study diagnosis prognosis and treatment of disease injury and other physical and mental impairments physicians may focus their practice on certain disease categories types of patients and methods of treatmentknown as specialitiesor they may assume responsibility for the provision of continuing and comprehensive medical care to individuals families and communitiesknown as general practice medical practice properly requires both a detailed knowledge of the academic disciplines such as anatomy and physiology underlying diseases and their treat	http://dbpedia.org/resource/Physician	A physician (American English), medical practitioner (Commonwealth English), medical doctor, or simply doctor, is a health professional who practices medicine, which is concerned with promoting, maintaining or restoring health through the study, diagnosis, prognosis and treatment of disease, injury, and other physical and mental impairments. Physicians may focus their practice on certain disease categories, types of patients, and methods of treatment—known as specialities—or they may assume responsibility for the provision of continuing and comprehensive medical care to individuals, families, and communities—known as general practice. Medical practice properly requires both a detailed knowledge of the academic disciplines, such as anatomy and physiology, underlying diseases and their treat
26	pathologist pathology is the study of the causes and effects of disease or injury the word pathology also refers to the study of disease in general incorporating a wide range of biology research fields and medical practices however when used in the context of modern medical treatment the term is often used in a narrower fashion to refer to processes and tests that fall within the contemporary medical field of general pathology an area which includes a number of distinct but inter related medical specialties that diagnose disease mostly through analysis of tissue cell and body fluid samples idiomatically a pathology may also refer to the predicted or actual progression of particular diseases as in the statement the many different forms of cancer have diverse pathologies in which case	http://dbpedia.org/resource/Pathology	Pathology is the study of the causes and effects of disease or injury. The word pathology also refers to the study of disease in general, incorporating a wide range of biology research fields and medical practices. However, when used in the context of modern medical treatment, the term is often used in a narrower fashion to refer to processes and tests that fall within the contemporary medical field of \"general pathology\", an area which includes a number of distinct but inter-related medical specialties that diagnose disease, mostly through analysis of tissue, cell, and body fluid samples. Idiomatically, \"a pathology\" may also refer to the predicted or actual progression of particular diseases (as in the statement \"the many different forms of cancer have diverse pathologies\", in which case
27	george p wilbur		
28	1987		
29	1998 nfl draft the 1998 nfl draft was the procedure by which national football league teams selected amateur college football players it is officially known as the nfl annual player selection meeting the draft was held april 1819 1998 at the theater at madison square garden in new york city the league also held a supplemental draft after the regular draft and before the regular season	http://dbpedia.org/resource/1998_NFL_Draft	The 1998 NFL draft was the procedure by which National Football League teams selected amateur college football players. It is officially known as the NFL Annual Player Selection Meeting. The draft was held April 18–19, 1998, at the Theater at Madison Square Garden in New York City. The league also held a supplemental draft after the regular draft and before the regular season.
30	1964		
31	berlin berlin brln bur lin german blin is the capital and largest city of germany by both area and population its 3 6 million inhabitants make it the european union s most populous city according to population within city limits one of germany s sixteen constituent states berlin is surrounded by the state of brandenburg and contiguous with potsdam brandenburg s capital berlin s urban area which has a population of around 4 5 million is the second most populous urban area in germany after the ruhr the berlin brandenburg capital region has around 6 2 million inhabitants and is germany s third largest metropolitan region after the rhine ruhr and rhine main regions	http://dbpedia.org/resource/Berlin	Berlin (/bɜːrˈlɪn/ bur-LIN, German: [bɛʁˈliːn]) is the capital and largest city of Germany by both area and population. Its 3.6 million inhabitants make it the European Union's most populous city, according to population within city limits. One of Germany's sixteen constituent states, Berlin is surrounded by the State of Brandenburg and contiguous with Potsdam, Brandenburg's capital. Berlin's urban area, which has a population of around 4.5 million, is the second most populous urban area in Germany after the Ruhr. The Berlin-Brandenburg capital region has around 6.2 million inhabitants and is Germany's third-largest metropolitan region after the Rhine-Ruhr and Rhine-Main regions.
32	caroline ingalls caroline lake ingalls lz ne quiner december 12 1839 april 20 1924 was the mother of laura ingalls wilder author of the little house books	http://dbpedia.org/resource/Caroline_Ingalls	Caroline Lake Ingalls (/ˈɪŋɡəlz/; née Quiner; December 12, 1839 – April 20, 1924) was the mother of Laura Ingalls Wilder, author of the Little House books.
33	sarah lawrence college sarah lawrence college is a private liberal arts college in yonkers new york the college models its approach to education after the oxford cambridge system of one on one student faculty tutorials sarah lawrence scholarship particularly in the humanities performing arts and writing places high value on independent study originally a women s college sarah lawrence became coeducational in 1968	http://dbpedia.org/resource/Sarah_Lawrence_College	Sarah Lawrence College is a private liberal arts college in Yonkers, New York. The college models its approach to education after the Oxford/Cambridge system of one-on-one student-faculty tutorials. Sarah Lawrence scholarship, particularly in the humanities, performing arts, and writing, places high value on independent study. Originally a women's college, Sarah Lawrence became coeducational in 1968.
34	spelman college spelman college is a private historically black women s liberal arts college in atlanta georgia it is part of the atlanta university center academic consortium in atlanta founded in 1881 as the atlanta baptist female seminary spelman received its collegiate charter in 1924 making it america s second oldest private hbcu liberal arts college for women	http://dbpedia.org/resource/Spelman_College	Spelman College is a private, historically black, women's liberal arts college in Atlanta, Georgia. It is part of the Atlanta University Center academic consortium in Atlanta. Founded in 1881 as the Atlanta Baptist Female Seminary, Spelman received its collegiate charter in 1924, making it America's second oldest private HBCU liberal arts college for women.
35	egyptian pound the pound egyptian arabic ge neh mas ri abbreviation le in latin in arabic historically also e iso code egp is the official currency of egypt it is divided into 100 piastres or ersh er plural o ru abbreviation pt or 1 000 milliemes mal lim french millime abbreviated to m or mill	http://dbpedia.org/resource/Egyptian_pound	The pound (Egyptian Arabic: جنيه مصرى ge.neːh masˤ.ri; abbreviation: LE in Latin, ج.م in Arabic, historically also £E; ISO code: EGP) is the official currency of Egypt. It is divided into 100 piastres, or ersh (قرش [ʔerʃ]; plural قروش [ʔo.ruːʃ]; abbreviation: PT), or 1,000 milliemes (مليم [mal.liːm]; French: millième, abbreviated to m or mill).
36	new york city a city is a large human settlement it can be defined as a permanent and densely settled place with administratively defined boundaries whose members work primarily on non agricultural tasks cities generally have extensive systems for housing transportation sanitation utilities land use production of goods and communication their density facilitates interaction between people government organisations and businesses sometimes benefiting different parties in the process such as improving efficiency of goods and service distribution	http://dbpedia.org/resource/City	A city is a large human settlement. It can be defined as a permanent and densely settled place with administratively defined boundaries whose members work primarily on non-agricultural tasks. Cities generally have extensive systems for housing, transportation, sanitation, utilities, land use, production of goods, and communication. Their density facilitates interaction between people, government organisations and businesses, sometimes benefiting different parties in the process, such as improving efficiency of goods and service distribution.
37	wilmington wilmington lenape paxahakink pakehakink is the largest city in the u s state of delaware the city was built on the site of fort christina the first swedish settlement in north america it lies at the confluence of the christina river and brandywine creek near where the christina flows into the delaware river it is the county seat of new castle county and one of the major cities in the delaware valley metropolitan area wilmington was named by proprietor thomas penn after his friend spencer compton earl of wilmington who was prime minister during the reign of george ii of great britain	http://dbpedia.org/resource/Wilmington,_Delaware	Wilmington (Lenape: Paxahakink / Pakehakink) is the largest city in the U.S. state of Delaware. The city was built on the site of Fort Christina, the first Swedish settlement in North America. It lies at the confluence of the Christina River and Brandywine Creek, near where the Christina flows into the Delaware River. It is the county seat of New Castle County and one of the major cities in the Delaware Valley metropolitan area. Wilmington was named by Proprietor Thomas Penn after his friend Spencer Compton, Earl of Wilmington, who was prime minister during the reign of George II of Great Britain.
38	theodore parker theodore parker august 24 1810 may 10 1860 was an american transcendentalist and reforming minister of the unitarian church a reformer and abolitionist his words and popular quotations would later inspire speeches by abraham lincoln and martin luther king jr	http://dbpedia.org/resource/Theodore_Parker	Theodore Parker (August 24, 1810 – May 10, 1860) was an American transcendentalist and reforming minister of the Unitarian church. A reformer and abolitionist, his words and popular quotations would later inspire speeches by Abraham Lincoln and Martin Luther King Jr.
39	thomas paine thomas paine born thomas pain february 9 1737 o s january 29 1736 june 8 1809 was an english born american political activist philosopher political theorist and revolutionary he authored common sense 1776 and the american crisis 17761783 two of the most influential pamphlets at the start of the american revolution and helped inspire the patriots in 1776 to declare independence from great britain hitherto an unpopular cause his ideas reflected enlightenment era ideals of transnational human rights	http://dbpedia.org/resource/Thomas_Paine	Thomas Paine (born Thomas Pain; February 9, 1737 [O.S. January 29, 1736] – June 8, 1809) was an English-born American political activist, philosopher, political theorist, and revolutionary. He authored Common Sense (1776) and The American Crisis (1776–1783), two of the most influential pamphlets at the start of the American Revolution, and helped inspire the Patriots in 1776 to declare independence from Great Britain, hitherto an unpopular cause. His ideas reflected Enlightenment-era ideals of transnational human rights.
40	henry clay henry clay sr april 12 1777 june 29 1852 was an american attorney and statesman who represented kentucky in both the u s senate and house of representatives he was the seventh house speaker as well as the ninth secretary of state also receiving electoral votes for president in the 1824 1832 and 1844 presidential elections he helped found both the national republican party and the whig party for his role in defusing sectional crises he earned the appellation of the great compromiser and was part of the great triumvirate of congressmen alongside fellow whig daniel webster and john c calhoun	http://dbpedia.org/resource/Henry_Clay	Henry Clay Sr. (April 12, 1777 – June 29, 1852) was an American attorney and statesman who represented Kentucky in both the U.S. Senate and House of Representatives. He was the seventh House speaker as well as the ninth secretary of state, also receiving electoral votes for president in the 1824, 1832, and 1844 presidential elections. He helped found both the National Republican Party and the Whig Party. For his role in defusing sectional crises, he earned the appellation of the \"Great Compromiser\" and was part of the \"Great Triumvirate\" of Congressmen, alongside fellow Whig Daniel Webster and John C. Calhoun.
41	cincinnati reds the cincinnati reds are an american professional baseball team based in cincinnati they compete in major league baseball mlb as a member club of the national league nl central division and were a charter member of the american association in 1881 before joining the nl in 1890	http://dbpedia.org/resource/Cincinnati_Reds	The Cincinnati Reds are an American professional baseball team based in Cincinnati. They compete in Major League Baseball (MLB) as a member club of the National League (NL) Central division and were a charter member of the American Association in 1881 before joining the NL in 1890.
42	swiss franc the swiss franc is the currency and legal tender of switzerland and liechtenstein it is also legal tender in the italian exclave of campione d italia which is surrounded by swiss territory the swiss national bank snb issues banknotes and the federal mint swissmint issues coins the smaller denomination a hundredth of a franc is a rappen rp in german centime c in french centesimo ct in italian and rap rp in romansh	http://dbpedia.org/resource/Swiss_franc	The Swiss franc is the currency and legal tender of Switzerland and Liechtenstein. It is also legal tender in the Italian exclave of Campione d'Italia which is surrounded by Swiss territory. The Swiss National Bank (SNB) issues banknotes and the federal mint Swissmint issues coins. The smaller denomination, a hundredth of a franc, is a Rappen (Rp.) in German, centime (c.) in French, centesimo (ct.) in Italian, and rap (rp.) in Romansh.
43	san francisco san francisco sn frnssko spanish for saint francis officially the city and county of san francisco is the commercial financial and cultural center of northern california the city proper is the fourth most populous in california and 17th most populous in the united states with 815 201 residents as of 2021 it covers a land area of 46 9 square miles 121 square kilometers at the end of the san francisco peninsula making it the second most densely populated large u s city after new york city and the fifth most densely populated u s county behind only four of the five new york city boroughs among the 331 u s cities proper with more than 100 000 residents san francisco was ranked first by per capita income at 133 856 and fifth by aggregate income as of 2019 coll	http://dbpedia.org/resource/San_Francisco	San Francisco (/ˌsæn frənˈsɪskoʊ/; Spanish for \"Saint Francis\"), officially the City and County of San Francisco, is the commercial, financial, and cultural center of Northern California. The city proper is the fourth most populous in California and 17th most populous in the United States, with 815,201 residents as of 2021. It covers a land area of 46.9 square miles (121 square kilometers), at the end of the San Francisco Peninsula, making it the second most densely populated large U.S. city after New York City, and the fifth most densely populated U.S. county, behind only four of the five New York City boroughs. Among the 331 U.S. cities proper with more than 100,000 residents, San Francisco was ranked first by per capita income (at $133,856) and fifth by aggregate income as of 2019. Coll
44	2010 world series		
45	2012 world series		
46	massachusetts massachusetts massachusett muhsachuweesut mhswatwist english mstusts zts officially the commonwealth of massachusetts is the most populous state in the new england region of the northeastern united states it borders on the atlantic ocean and gulf of maine to the east connecticut and rhode island to the south new hampshire and vermont to the north and new york to the west the state s capital and most populous city as well as its cultural and financial center is boston massachusetts is also home to the urban core of greater boston the largest metropolitan area in new england and a region profoundly influential upon american history academia and the research economy originally dependent on agriculture fishing and trade massachusetts was transforme	http://dbpedia.org/resource/Massachusetts	Massachusetts (Massachusett: Muhsachuweesut [məhswatʃəwiːsət], English: /ˌmæsəˈtʃuːsɪts/, /-zɪts/), officially the Commonwealth of Massachusetts, is the most populous state in the New England region of the Northeastern United States. It borders on the Atlantic Ocean and Gulf of Maine to the east, Connecticut and Rhode Island to the south, New Hampshire and Vermont to the north, and New York to the west. The state's capital and most populous city, as well as its cultural and financial center, is Boston. Massachusetts is also home to the urban core of Greater Boston, the largest metropolitan area in New England and a region profoundly influential upon American history, academia, and the research economy, Originally dependent on agriculture, fishing, and trade. Massachusetts was transforme
47	euro		
