query_id	query
223	what did ben hall do
224	where does kirk cameron live now
225	what is president abraham lincoln known for
226	who is jeremy sumpter
227	what type of government did sparta greece have
228	where marie curie come from
229	what characters does trey parker voice
230	what did robert koch do
231	what county is novato in
232	what songs did whitney houston
233	who invented arabic alphabet
234	what books did mark twain read
235	what currency should i bring to italy
236	where was tupac born
237	what type of monarchy did england have
238	who was donald duck s girlfriend
239	what empire did maria theresa rule
240	what did julia roberts won an oscar for
241	where did bashar al assad study
242	where was tommy emmanuel born
243	where is louisville ne
244	what movies did james franco play in
245	who does kris humphries play for in the nba
246	what did michelle obama do
247	what books did frances hodgson burnett wrote
248	who played obi wan kenobi in phantom menace
249	when did abraham lincoln free the slaves
250	who does northern ireland belong to
251	what other jobs did benjamin franklin have
252	who nikki reed play in twilight
253	what time zone am i in michigan
254	what business does raj kundra do
255	what is the current leader of japan
256	what blood disease does robin roberts have
257	who was theodore roosevelt s vice president
258	where george washington carver go to school
259	what instrument does ringo starr play
260	where kurdish people from
261	where gm cars are built
262	what movie queen latifah play in
263	where president nixon was born
264	where adidas originate
265	what to see in washington dc in 2 days
266	where did the cuban missile crisis happen
267	where did l frank baum die
268	what is the name of the pittsburgh steelers head coach
269	where did drew stanton play in college
270	who was sam houston answers
271	when did the new york knicks win a championship
272	who are all the american idol winners and runner ups
273	where was ben franklin born
274	what did charles babbage create in the 1800s
275	what good things has angelina jolie done
276	when was barack obama elected president
277	where is the gobi desert located
278	what type of music was scott joplin noted for
279	what 5 countries border romania
280	who taught michelangelo to sculpt
281	who did japan surrender to in ww2
282	where did charles drew go to high school
283	who did elton john marry first
284	where was toussaint l ouverture from
285	where was my honda motorcycle made
286	who started up mcdonalds
287	who is the leader of the dominican republic 2011
288	where did phil mickelson go to college
289	what year did lamar odom play for the clippers
290	where does the st louis rams play football
291	what language do the speak in pakistan
292	when is wimbledon tennis tournament
293	what is the religion of israel people
294	where are the headquarters of the united nations organization found
295	what instrument does mike huckabee play
296	where did chef chuck hughes go to school
297	what is time zone in new orleans
298	who will michael schumacher drive for in 2013
299	who are shakespeare s parents names
300	what money currency does canada use
301	who was elected president of the philippines
302	what nationality was andy williams
303	what language do iraqi people speak
304	what did theodore roosevelt do that brought him to national prominence
305	what language does the new zealand speak
306	what did egyptians speak
307	what other countries does canada trade with
308	what did corey haim really die of
309	who does the author stephenie meyer play in the movie twilight
310	where did kobe bryant attend high school
311	what currency do i need in egypt
312	what to see in chicago downtown
313	what language chile speak
314	what is the braves mascot
315	who plays john connor in terminator salvation
316	what is the syracuse university mascot
317	where did neil gaiman grow up
318	what college chris paul go to
319	what did jordyn wieber win gold for
320	what is the zip code for trenton ga
321	what will happen to greece when it defaults
322	who did michael jordan marry
323	what is the san francisco giants mascot
324	what city was ronald reagan born in
325	who is shania twain s husband
326	what has mario lopez been in
327	who were mary shelley s parents
328	where is the best place to visit in the bahamas
329	what did charles babbage make
330	what year were the cincinnati reds founded
331	when did braves win the world series
332	who does sam bradford play for
333	what happened to president james garfield
334	who does danneel harris play on one tree hill
335	who played bob ewell in to kill a mockingbird
336	what college did edgar allan poe go to
337	who played freddy in friday the 13th
338	what to do with kids in phx az
339	who s kobe bryant
340	what language do the assyrians speak
341	what is the capital city of montana usa
342	what was abe lincoln s wife name
343	where is amazon based out of
344	what was jesse james wife name
345	what was the name of the original seattle baseball team
346	what areas did henry hudson discover
347	what is the postcode for seoul south korea
348	who does allen iverson play for now 2010
349	what to do in chicago this weekend with kids
350	which states touch canadian soil
351	what is jill wagner on wipeout
352	what year did the new york mets start
353	who played emperor palpatine
354	what guitar did andres segovia use
355	what state did thomas jefferson live in
356	who plays the new michael myers
357	what medium is the school of athens
358	what city are the swiss alps in
359	what are five countries that border france
360	what countries include western europe
361	what books did lincoln write
362	what did emily dickinson die of
363	what did mozart do to become famous
364	what movie did james frey write
365	where was adolf hitler died
366	what political party did john bell belong to
367	what town was abe lincoln born in
368	what form of government does brazil have
369	where did joe montana go to high school
370	what is the new orleans hornets new name
371	what does kenya moore do for a living
372	what condition does michael j fox have
373	what to do when traveling to london
374	what is wrong with robin roberts
375	what teams did gretzky play on
376	what is charlotte north carolina known for
377	what city is the jacksonville jaguars from
378	what countries does germany share borders with
379	what kind of cancer killed larry hagman have
380	what is tibetan language
381	who is the head coach of the chicago blackhawks
382	where was benjamin franklin raised
383	what do ethnic russians look like
384	what was omar epps first movie
385	in which continent is russia
386	where did the allied invasion of france take place
387	when do they have the olympics
388	where in oregon was stand by me filmed
389	what did writers of the harlem renaissance write about
390	where did president eisenhower go to college
391	what films have taylor lautner starred in
392	who did king tut married
393	what year lebron james came to the nba
394	what is the senate responsible for
395	what race are arabs
396	who does michael oher play for in 2009
397	who is paul mccartney s current wife
398	what kind of money do you use in aruba
399	what language do the people speak in australia
400	what timezone are the bahamas
401	what political party was adolf hitler from
402	where is the euro 2012 tournament
403	who do derek fisher play for
404	who was the president of pakistan in 1980
405	what religions are found in australia
406	who is andrew carnegie and what did he do
407	where is compaq laptops made
408	who plays harold saxon in doctor who
409	what techniques did frida kahlo use in her paintings
410	where do most earthquakes happen in japan
411	what type of government does the former soviet union have
412	what movies does zac efron star in
413	which countries does russia border
414	who did axl rose marry
415	where to visit in n ireland
416	where did sir donald bradman live
417	who did lamar odom sign with
418	what years have the ravens won the super bowl
419	what is the political system in egypt
420	where is the capital city of assyrians
421	where is german an official language
422	when does school start in los angeles california 2011
423	what do people from spain speak
424	what time zone is new england usa in
425	who were anakin skywalker s parents
426	what is the capital city of texas usa
427	when was the last time iran invaded another country
428	what kourtney kardashian baby girls name
429	where was anne frank born
430	what year did michael jordan get drafted
431	who was the fascist dictator of germany
432	what albert einstein do for math
433	when did the christchurch quake happened
434	where to ski in andorra reviews
435	where is tommy emmanuel from
436	what currency to take to side turkey
437	who is nick grimshaw
438	when did they stop making ford rangers
439	where did the casey anthony case take place
440	what is gibby s mom s name
441	what language does people in netherlands speak
442	who did juan ponce de leon married
443	where to vacation in italy in august
444	when did romney first run for president
445	what is the currency in croatia 2012
446	when does school start in hillsborough county
447	what wars have france been involved in
448	where did harriet tubman live after the civil war
449	who plays meg in family guy
450	where did chickasaw indians live
451	who played john connor friend in terminator 2
452	who won the super bowl xliv 2010
453	where did hammurabi come from
454	where is poe buried now
455	what years did barry bonds play
456	what exactly did dale earnhardt die from
457	who was luke skywalker played by
458	what do australia call their money
459	what does a american rottweiler look like
460	what school did william shakespeare attend
461	what other writers influenced charles dickens
462	when was the civil war in libya
463	what is the major language spoken in canada
464	what s the egyptian currency
465	what countries does britain own
466	who does the united states export the most to
467	what currency is used in france before euro
468	what city was kennedy shot
469	what are the best places to go in germany
470	what influenced langston hughes to write
471	what kind of biome is the everglades
472	what should i visit in venice
473	what type of government does australia currently have
474	where did jane goodall go to school
475	who played dumbledore in the first movie
476	where is amsterdam ohio
477	what college did joe namath go to
478	who the voice of lois griffin
479	how old is the current president of north korea
480	where is lake waynoka ohio
481	what kind of money do japanese use
482	which is faster amd dual core or intel dual core
483	who was the members of blackstreet
484	where did carmen electra grow up
485	what language did ancient romans write in
486	who does queen elizabeth hair
487	when are the summer olympics held
488	what type of government germany have
489	what teams did george steinbrenner own
490	who are iran s major trading partners
491	what drugs were in whitney houston when she died
492	where did the hopi indians live
493	what are some places to visit in barcelona
494	what does the adriatic sea border
495	what team does terrell owens play for this year
496	what airport is closest to sandals grande in st lucia
497	when was the last dallas cowboys super bowl win
498	where is auburn university at
499	where is the world series 2012 being played
500	what countries make up great britain and what are their capitals
501	what movies did adam sandler play in
502	what stadium did the chicago cardinals play in
503	what to do in panama city beach for spring break
504	what are all of michael jackson albums
505	what are the different dialects of chinese
506	what was the name of tecumseh brother
507	who is carl edwards racing for
508	where did pablo picasso die
509	who did heinrich himmler marry
510	what language do australian people speak
511	what kind of money do the philippines use
512	who is lleyton hewitt
513	where does bill richardson live
514	what books did jules verne wright
515	what movies has chris colfer been in
516	what did edward jenner do for a living
517	who speaks arabic language
518	where was the battle of vicksburg held
519	what language do you speak in finland
520	what channel is anderson cooper talk show on
521	what countries was the vietnam war between
522	who played bilbo baggins
523	what countries did andy warhol work
524	when was the last time the san francisco giants won a world series
525	where is christina aguilera from
526	who speaks farsi
527	what did the habsburg family control
528	what are the best hotels to stay in san francisco
529	what do you want from me jerrod niemann lyrics meaning
530	what form of government does north korea
531	what region of the world is north america in
532	what did randy jackson play in journey
533	where is greyton western cape
534	who played lois lane in superman 1
535	what killed sammy davis jr
536	what is brazil time zone
537	what does the maine state flag look like
538	what is the president of france s name
539	what inventions did da vinci made
540	who plays walter in fringe
541	who are the players on the toronto maple leafs
542	what degree did martin luther king get
543	where is santa clara university
544	what form of government was practiced in sparta
545	who wore the darth vader suit in revenge of the sith
546	what does china border
547	who is neil patrick harris dating
548	where to stay in thailand koh samui
549	where did james franco study acting
550	what makes einstein smart
551	what is the atlanta braves mascot
552	what are the two major religions in canada
553	who is president of pakistan 2012
554	what were marco polo s goals
555	who does cristiano ronaldo play for in 2010
556	what two countries share a border with the great lakes
557	which airport do ba fly to in oslo
558	what was elie wiesel s father s name
559	who is the 2011 heisman trophy winner
560	who became president when jfk was killed
561	what languages are there in switzerland
562	who are betty white s parents
563	who did wayne gretzky play 4
564	where is fiat abarth made
565	what musical instruments did duke ellington play
566	how many teams are there in the ncaa football
567	who do nate robinson play for
568	what is the rainforest in south america called
569	who was the leader of germany in wwii
570	who created the character of romeo
571	where are you if you re in zagreb
572	who is clint eastwood dating
573	what countries do new zealand export to
574	what city is the university of maryland university college in
575	what is the official language in china
576	what kind of art did leonardo da vinci produce
577	who founded the roanoke settlement
578	what movies has michael clarke duncan been in
579	where is canadian county oklahoma
580	what style of music did jimi hendrix play
581	who did david villa play for
582	what states does the connecticut river flow through
583	what boudicca do
584	what does anderson cooper do
585	what kind of government is china
586	what movies did chris farley do
587	where is university of alabama located
588	what college did drew bledsoe
589	what currency should i take to mauritius
590	who is the governor of california 2010
591	who was hadrian and what did he do
592	who plays moira on the l word
593	who has tim howard played for
594	who is the political leader of japan
595	who was the founder of the colony of virginia
596	who is roger bacon inventor of
597	what form of government does australia
598	what do michelle obama do for a living
599	where does kyla ross live
600	where was alice walker born
601	who was the voice of simba
602	during what war did abraham lincoln serve as president
603	who is the voice actor for eric cartman
604	who did michael vick play for in 2008
605	what does the dutch word boer mean
606	what does the devil look like in young goodman brown
607	what state is kaplan university online located
608	who will play clary in city of bones
609	what kind of economy does china has
610	where was battle of verdun located
611	what are the natural resources in wisconsin
612	where do audi come from
613	who plays lois in family guy
614	where did bronx tale take place
615	where did vietnamese people originate from
616	what illnesses did george washington suffer from
617	what is the dominant language of jamaica
618	what are the three major rivers in south america
619	what sport does rebecca adlington compete in
620	what films did hans zimmer wrote music for
621	what are the kennedys
622	where is spain located what continent
623	where did audie murphy grow up
624	what to see and do in malta
625	what did st matthew do
626	where is pyramids located in egypt
627	where did dmitri mendeleev teach
628	what kind of experiments did humphrey davy do
629	what airport fly into miami
630	where are the libyan refugees going
631	where is george bush from
632	who is mexico s president right now 2011
633	who did rufus wainwright married
634	what are spanish speaking countries and their capitals
635	what is the capital city of south carolina
636	what company did henry ford work for
637	what money should i bring to dominican
638	where was avril lavigne born
639	what kind of money does the uk use
640	what is the currency name of brazil
641	where do the broncos play
642	what years have the dallas cowboys won the superbowl
643	what characters does seth macfarlane voice
644	where did the battle of the alamo start
645	where does the appalachian trail run through
646	who played george jefferson on all in the family
647	what is illinois state bird
648	who wrote john 3 16 in the bible
649	what college is in greeley colorado
650	what university did bill clinton graduated from
651	what website did mark zuckerberg co founder
652	where was jesus born and raised
653	where is sony ericsson based
654	what is nina dobrev nationality
655	where did michael jordan play high school basketball
656	where did the founder of google go to college
657	what do people in the czech republic speak
658	what team is chris paul on
659	where did andrew young go to school
660	what part of the atom did chadwick discover
661	where is hong kong china
662	what did alvin smith died from
663	when was the last time the toronto maple leafs make the playoffs
664	who does debbie dingle go out with
665	who is adam sandler
666	who to vote for in san francisco 2012
667	what political party was henry clay
668	what kind of money in aruba
669	what did donna summers die from
670	what year did michael jordan started his career
671	what color are the baltimore ravens
672	who does obama look up to
673	where was the battle of verdun held
674	where was the ancient region of mesopotamia
675	what did bruce jenner win gold for
676	what are the names of snoopy brothers and sisters
677	what division is cincinnati bengals in
678	what airlines fly into ontario international airport
679	what are all the songs nicki minaj is in
680	where does danish language come from
681	what years have the giants won the world series
682	what language does egyptians use
683	what countries speak german as a first language
684	who is rob kardashian dating now 2012
685	what currency should i take to dubai
686	who is the present chief justice of the u s supreme court
687	what county is lancaster ca located in
688	what is the zip code for morgantown in
689	in what state did the bloody battle of antietam take place
690	who invented the ford motor company
691	who is the member of rajya sabha
692	what are king charles spaniels
693	what are major religions in the united states
694	what branch is made up of the house of representatives
695	what movies did sally field win an oscar for
696	what do barack obama do as a president
697	what main language do they speak in brazil
698	where is singapore on a world map
699	who plays stewie griffin s voice family guy
700	where did bob dylan live
701	where does manny pacquiao live
702	what freeview channel is bbc three
703	what all does google have
704	who is susan st james
705	what is colorado s state flower
706	what to do in perth scotland
707	what is the currency of germany in 2010
708	which countries share borders with spain
709	what type of currency does the us have
710	what is isaac newton famous for
711	when last did real madrid win the champions league
712	which english team won the champions league first
713	where did american troops fight in ww1
714	what country does nike operate in
715	who was the governor of missouri in 1996
716	what year michael jordan came in the nba
717	what team does kareem abdul jabbar play for
718	what kind of currency does cuba use
719	in what timezone is arizona
720	what is the name of dawn french s first novel
721	what county is duluth in
722	where did henry hudson travel
723	what are some important events in ancient egypt
724	what are the major religions practiced in israel
725	who plays lois griffin in family guy
726	where is the main headquarters of the un
727	where did the navajo tribe live
728	what kind of political system does iran have
729	what did ryan dunn died from
730	what religions are practiced in afghanistan
731	what color are the arizona cardinals uniforms
732	what office does paul ryan hold
733	where is riley s farm located
734	what highschool did tom brady go to
735	where did fred west work
736	what is the short name for stephanie
737	what character did stan lee create
738	what years did the atlanta braves win the world series
739	where is the howard university located
740	what magazine did edgar allan poe work for
741	what country is beside france
742	where did helen keller die
743	what are the islands of oceania
744	when did ian thorpe become famous
745	what money is used in england
746	what was howard carter s job
747	what is shakira s nationality
748	who is the leader of france 2012
749	where the seneca indians lived
750	who did corey feldman married
751	who played carl fredricksen in up
752	what inspired steinbeck to write
753	where is johnny depp from
754	what language do lakota indians speak
755	what is there to do in gatlinburg in december
756	what state toronto located
757	what is a king charles cavalier dog
758	who won the 2012 snooker masters
759	where is arabic the official language
760	what kind of economy was the soviet union
761	what are the 5 countries in the united kingdom
762	when did melbourne get its name
763	what state did woodrow wilson represent
764	where does hudson river start
765	what is henry clay known for
766	what kind of artist is henri matisse
767	what places can you visit in france
768	what time is right now in texas
769	what illnesses did george washington have
770	where is mount st helens
771	what does matt dallas do now
772	where did jackie kennedy go to college
773	what are american staffordshire terriers
774	what did james madison wrote
775	what timezone is illinois on
776	what are the basic beliefs of islam religion
777	what currency is used in switzerland 2012
778	what countries has spanish as their official language
779	where is the ottoman empire located
780	who did george wendt play on cheers
781	what year did kobe bryant go to high school
782	what religion is king henry viii
783	who stars in the movie fred claus
784	in which city was president kennedy killed
785	where did joe namath live
786	where to travel around sydney
787	what kind of education did barack obama have
788	what movies does tupac act in
789	what are major exports of the usa
790	which team does ronaldinho play for
791	who did u s fight against in ww1
792	what is the parliament of canada called
793	where does don king live
794	what continent is belize located in
795	what movies did jenna dewan play in
796	what albums did john frusciante play on
797	who plays steffy on bold and the beautiful
798	what did lucille ball die of
799	what was the name of the book hitler wrote while in prison
800	what bible do rastafarians use
801	what is the zip code for fort stockton texas
802	where does luke skywalker live in star wars
803	what is the name of the capital of spain
804	what county is stockton ca located in
805	what country did jacques cartier came from
806	who did michael jackson play in the wiz
807	who does messi play with
808	what year did reggie bush get drafted
809	where was toussaint charbonneau from
810	what happened to mike tyson
811	what to do in roatan bay
812	what are the names of harry potter books in order
813	who started mary kay
814	what is al in arabic names
815	what does russian people speak
816	where did robin gibb die
817	what is molly ringwald in
818	which college did obama graduated
819	what is father name of salman khan
820	what are the holidays of islam
821	who was general cornwallis american revolution
822	what language brazil use
823	who does mark sanchez play for
824	what university did barack obama attend
825	what awards has louis sachar won
826	where does eddie bravo teach
827	what language do jewish speak
828	what timezone is reno nv
829	what does scottish people speak
830	what films did charlie chaplin direct
831	what countries are part of nato
832	where did lauren conrad live
833	who was dr seuss
834	what is wentworth miller in
835	who did georgia o keeffe inspired
836	what sort of government does canada have
837	what countries in the world speak german
838	who plays marlo on the wire
839	what date did the san francisco giants win the world series
840	where did rihanna grow up
841	where is headquarters of verizon
842	what was sir arthur conan doyle famous for
843	where is the spratly islands located
844	where is tahiti bora bora
845	where is shoreditch
846	what is bethenny frankel husband name
847	where ulysses s grant go to school
848	who does sonny bill williams play for 2012
849	what instrument does fela kuti play
850	what movies does nicole kidman star in
851	what year did dwight howard won the slam dunk contest
852	when was ancient egypt created
853	who is the senator of connecticut 2010
854	who are the two state senators of georgia
855	what countries does japan export to
856	who is the owner of the philadelphia eagles
857	what form of government is israel
858	where are the pyramids of giza located
859	what 4 countries are part of the united kingdom
860	what was karl marx beliefs
861	where do most immigrants in the united states come from today
862	who played lex luthor in the original superman
863	who was galileo galilei
864	what country was william shakespeare born
865	where is atlanta texas located
866	when was saint nicholas died
867	what does shawn johnson do
868	what kind of currency to bring to mexico
869	what war was woodrow wilson president for
870	what were adolf hitler s parents names
871	what movies does johnny depp play in
872	what language do they speak thailand
873	when did shawn johnson won the gold medal
874	what to see in singapore at night
875	where is st louis cardinals stadium
876	what is saint nicholas known for
877	where does the band metallica live
878	who all has dated taylor swift
879	what did kenny everett die off
880	which countries border lake victoria
881	who won the nobel peace prize in 2007
882	what currency does the dominican republic
883	who played bernie focker
884	where did c s lewis go to college
885	where in the bible does it talk about david
886	who did marco polo travel with
887	where did buzz williams go to college
888	where does mike leach coach
889	what is the currency used in tunisia
890	what is the name of the bengals quarterback
891	who was betty white married too
892	who is chris cooley married to
893	who does avril lavigne play in over the hedge
894	where did ayn rand live
895	where is jack daniels factory
896	where did captain james cook grow up
897	where did darfur happen
898	what school did martin luther king jr attend
899	which states does the mississippi river pass through
900	who was the vice president when bill clinton was in office
901	what to do in dubuque this weekend
902	what was christiaan barnard famous for
903	when did the chicago bulls win their first championship
904	what is the name of the first prophet of islam
905	what is vanderbilt university mascot
906	what are the four nations of the uk
907	who is the state senator of kentucky
908	what inspired scott fitzgerald
909	where is whitey bulger
910	what was alexander graham bell known for
911	what language do fiji people speak
912	where to go in mexico for vacation
913	what influenced jackson pollock s work
914	where is the university of oregon state
915	what kind of legal system does australia have
916	who portrayed indiana jones in raiders of the lost ark
917	where did kurt cobain die
918	what is mount st helens
919	where is the time zone in florida
920	who played boss hogg dukes of hazzard
921	what countries are in the caribbean
922	where did justin bieber grew up
923	what time is it in lake havasu city arizona
924	where does the shannon river flow
925	what types of government does france have
926	who coached the dallas cowboys in 1996
927	what years did brett favre go to the super bowl
928	what caused the russian financial crisis of 1998
929	into what language family does english fall
930	where is walton goggins from
931	who does paul wesley play in 24
932	where did st louis tornado hit
933	who owns chrysler corporation 2012
934	who did james franco play on general hospital
935	where did lee corso go to college
936	what movies did diana ross play in
937	what type of government does nigeria have today
938	what is the state bird and flower of michigan
939	what do mali people speak
940	who carries sherwin williams paint
941	what does the roman empire consist of
942	on which river is paris
943	who created youtube and when
944	what year were the new york yankees established
945	what countries fall in eastern europe
946	what office does hillary clinton hold
947	when is the last time chicago bulls won a championship
948	where is the thames river located
949	which airport is closest to the city of chicago
950	what country surrounds spain
951	what language do people speak in brazil wikipedia
952	which paris airport is closest to the city center
953	what money does guatemala use
954	who did deborah sampson married
955	where did mitt romney go to elementary school
956	where did english numbers originate from
957	who are shakespeare s siblings
958	who does lea michele dating in real life
959	what do the islamic believe
960	who is aidan quinn
961	where did sir richard grenville explore
962	where are you if you re in khartoum
963	who has coached the baltimore ravens
964	what was the name of martin luther king jr parents
965	what state did henry clay represent
966	where is jefferson davis buried
967	what currency does greece use
968	what two countries invaded poland in the beginning of ww2
969	who plays the voice of lois griffin
970	what are the names of all the countries in africa
971	what is john cena doing right now
972	who did aaron rodgers play college football 4
973	what jamaican language called
974	what voice does hank azaria do on the simpsons
975	who plays jay adams in lords of dogtown
976	what kind of government does spain have now
977	what is currency in dominican republic
978	where is the university of west alabama located
979	who helped china in ww2
980	what movies did taylor lautner star in
981	what did captain scott die of
982	what type of language does peru speak
983	where do the baltimore ravens play
984	what happened to thomas cromwell s children
985	who is the head coach of the new orleans saints
986	what 4 countries make up great britain
987	what was the colosseum in rome used for
988	what college did steve jobs attend
989	what kind of government does italy have
990	what team does allen iverson play for now
991	what season did brooke burke won
992	who does jr smith play for 2012
993	when did maria sharapova start playing tennis
994	where does jeb bush live
995	which countries are part of the united kingdom
996	where does joey king live
997	what do egyptians speak
998	where did terrell owens get traded to
999	where did johann sebastian bach live
1000	where are you from in egyptian arabic
1001	what years did jackie robinson play baseball
1002	who played hannah montana best friend
1003	what happened to umaga wwe
1004	what religion did jesus christ follow
1005	who were the major trade partners of russia
1006	what channel is game show network on time warner cable
1007	who owns nissan car manufacturer
1008	who sang at the mtv movie awards 2011
1009	who played todd manning on one life to live
1010	who was queen victoria s parents called
1011	what is the major language spoken in greece
1012	who did mike tomlin play for
1013	what does tim gunn do for a living
1014	what did shawnee smith play in
1015	what does the philippines flag represent
1016	what is the name of the broncos mascot
1017	what influenced roy lichtenstein artwork
1018	where is the country of armenia
1019	who was michael jackson s best friend
1020	when did the bali bombings occur
1021	what did anton van leeuwenhoek discover
1022	what team did doug williams play for
1023	what season did tony soprano get shot
1024	where is the kakadu national park located
1025	what date did the earthquake in christchurch happen
1026	where did the roma people come from
